FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,LBH,LBD,LBA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,Season,TotalGoals,GoalDiff,Over2.5,BTTS,Home_xG,Away_xG,HomeForm_5,HomeGF_5,HomeGA_5,HomexG_5,HomexGA_5,HomeShots_5,HomeShotsAgainst_5,HomeSOT_5,HomeSOTAgainst_5,HomeCorners_5,HomeCornersAgainst_5,HomeFouls_5,HomeFoulsAgainst_5,HomeYellows_5,HomeReds_5,Homecum_Form,Homecum_GF,Homecum_GA,Homecum_xG,Homecum_xGA,Homecum_Shots,Homecum_ShotsAgainst,Homecum_SOT,Homecum_SOTAgainst,Homecum_Corners,Homecum_CornersAgainst,Homecum_Fouls,Homecum_FoulsAgainst,Homecum_Yellows,Homecum_Reds,Homeseason_progress,Homeform_vs_season,AwayForm_5,AwayGF_5,AwayGA_5,AwayxG_5,AwayxGA_5,AwayShots_5,AwayShotsAgainst_5,AwaySOT_5,AwaySOTAgainst_5,AwayCorners_5,AwayCornersAgainst_5,AwayFouls_5,AwayFoulsAgainst_5,AwayYellows_5,AwayReds_5,Awaycum_Form,Awaycum_GF,Awaycum_GA,Awaycum_xG,Awaycum_xGA,Awaycum_Shots,Awaycum_ShotsAgainst,Awaycum_SOT,Awaycum_SOTAgainst,Awaycum_Corners,Awaycum_CornersAgainst,Awaycum_Fouls,Awaycum_FoulsAgainst,Awaycum_Yellows,Awaycum_Reds,Awayseason_progress,Awayform_vs_season,HomexG_5_missing,HomexGA_5_missing,Homecum_xG_missing,Homecum_xGA_missing,AwayxG_5_missing,AwayxGA_5_missing,Awaycum_xG_missing,Awaycum_xGA_missing,H2H_Matches,H2H_HomeWins,H2H_AwayWins,H2H_Draws,H2H_HomeGoals,H2H_AwayGoals,Ref_AvgYellows,Ref_AvgReds,Ref_Strictness,temperature,precipitation,rain,wind_speed,humidity,stadium_lat,stadium_lon,Result_Num,Over1.5,Over3.5,HomeCleanSheet,AwayCleanSheet
0.0,1.0,0.0,0.0,11.0,7.0,2.0,3.0,13.0,13.0,6.0,3.0,3.0,4.0,0.0,0.0,2.05,3.3,4.0,45.0,2.1,1.96,3.65,3.48,4.33,3.98,43.0,2.11,2.02,1.88,1.79,1516,1.0,-1.0,0,0,0.876106,0.782253,1.4,1.4,1.4,1.3585203999999997,1.4196706,12.2,12.8,4.2,4.4,5.0,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.3769776,1.3930511999999997,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,3.1666666666666665,0.2,0.5794871794871794,21.6,0.0,0.0,9.8,60.0,50.7352,-1.8384,2,0,0,0,1
2.0,2.0,2.0,1.0,11.0,18.0,3.0,10.0,15.0,16.0,4.0,8.0,1.0,3.0,1.0,0.0,1.4,4.5,10.0,45.0,1.43,1.37,5.0,4.66,11.26,9.57,43.0,1.88,1.8,2.07,1.99,1516,4.0,0.0,1,1,0.64396,2.59203,1.4,1.4,1.4,1.3585203999999997,1.4196706,12.2,12.8,4.2,4.4,5.0,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.3769776,1.3930511999999997,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,3.262948207171315,0.15139442231075698,0.5718663806313209,23.2,0.0,0.0,9.1,51.0,51.4817,-0.1909,1,1,1,0,0
2.0,2.0,0.0,1.0,10.0,11.0,5.0,5.0,7.0,13.0,8.0,2.0,1.0,2.0,0.0,0.0,1.75,3.8,5.0,45.0,1.75,1.69,4.0,3.76,5.77,5.25,44.0,1.93,1.84,2.03,1.96,1516,4.0,0.0,1,1,0.604226,0.557892,1.4,1.4,1.4,1.3585203999999997,1.4196706,12.2,12.8,4.2,4.4,5.0,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.3769776,1.3930511999999997,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,3.125,0.1,0.5269230769230769,19.9,0.0,0.0,4.5,55.0,53.4389,-2.9664,1,1,1,0,0
4.0,2.0,3.0,0.0,19.0,10.0,8.0,5.0,13.0,17.0,6.0,3.0,2.0,4.0,0.0,0.0,2.0,3.4,4.2,45.0,2.03,1.96,3.5,3.37,4.52,4.06,43.0,2.27,2.18,1.73,1.67,1516,6.0,2.0,1,1,2.56803,1.45946,1.4,1.4,1.4,1.3585203999999997,1.4196706,12.2,12.8,4.2,4.4,5.0,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.3769776,1.3930511999999997,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,2.813953488372093,0.08139534883720931,0.4704830053667263,22.4,0.0,0.0,12.9,52.0,52.6204,-1.1422,0,1,1,0,0
1.0,0.0,1.0,0.0,9.0,9.0,1.0,4.0,12.0,12.0,1.0,2.0,2.0,3.0,0.0,0.0,1.67,4.0,5.5,42.0,1.71,1.63,4.2,3.9,6.5,5.65,40.0,1.86,1.79,2.13,2.01,1516,1.0,1.0,0,0,0.627539,0.6746,1.4,1.4,1.4,1.3585203999999997,1.4196706,12.2,12.8,4.2,4.4,5.0,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.3769776,1.3930511999999997,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,3.096774193548387,0.13548387096774195,0.5389578163771712,20.8,0.0,0.0,16.3,53.0,53.4631,-2.2913,0,0,0,1,0
1.0,3.0,0.0,1.0,17.0,11.0,6.0,7.0,14.0,20.0,1.0,4.0,1.0,0.0,0.0,0.0,2.62,3.2,2.9,45.0,2.63,2.53,3.42,3.21,3.11,2.92,43.0,2.25,2.18,1.75,1.67,1516,4.0,-2.0,1,1,1.13076,2.10975,1.4,1.4,1.4,1.3585203999999997,1.4196706,12.2,12.8,4.2,4.4,5.0,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.3769776,1.3930511999999997,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,3.6,0.064,0.5833846153846154,21.3,0.0,0.0,10.2,51.0,52.622,1.3087,2,1,1,0,0
0.0,2.0,0.0,1.0,22.0,8.0,6.0,4.0,12.0,9.0,5.0,4.0,1.0,3.0,0.0,0.0,1.29,5.5,12.0,45.0,1.33,1.29,6.16,5.53,12.0,10.75,39.0,1.71,1.64,2.3,2.22,1516,2.0,-2.0,0,0,1.33166,0.535961,1.4,1.4,1.4,1.3585203999999997,1.4196706,12.2,12.8,4.2,4.4,5.0,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.3769776,1.3930511999999997,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,2.9941176470588236,0.09411764705882353,0.5040723981900452,23.5,0.0,0.0,14.6,43.0,51.5549,-0.1084,2,1,0,0,1
2.0,2.0,1.0,1.0,9.0,15.0,4.0,5.0,9.0,12.0,6.0,6.0,2.0,4.0,0.0,0.0,2.88,3.3,2.6,45.0,2.88,2.79,3.47,3.23,2.76,2.63,43.0,2.23,2.14,1.8,1.7,1516,4.0,0.0,1,1,1.54613,1.2529,1.4,1.4,1.4,1.3585203999999997,1.4196706,12.2,12.8,4.2,4.4,5.0,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.3769776,1.3930511999999997,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,3.702830188679245,0.12735849056603774,0.6284470246734397,19.9,0.0,0.0,19.9,57.0,54.9756,-1.6217,1,1,1,0,0
0.0,1.0,0.0,0.0,7.0,8.0,1.0,3.0,9.0,16.0,3.0,5.0,2.0,4.0,0.0,0.0,3.4,3.3,2.3,45.0,3.51,3.33,3.51,3.33,2.35,2.24,43.0,2.15,2.06,1.82,1.75,1516,1.0,-1.0,0,0,0.381274,0.329873,1.4,1.4,1.4,1.3585203999999997,1.4196706,12.2,12.8,4.2,4.4,5.0,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.3769776,1.3930511999999997,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,3.4943396226415095,0.12452830188679245,0.5950653120464442,20.8,0.0,0.0,19.4,57.0,52.9854,-2.1757,2,0,0,0,1
0.0,3.0,0.0,2.0,9.0,19.0,2.0,7.0,12.0,9.0,6.0,6.0,4.0,1.0,0.0,0.0,5.5,3.75,1.67,41.0,6.5,5.46,4.1,3.85,1.72,1.66,40.0,1.84,1.77,2.15,2.04,1516,3.0,-3.0,1,0,0.435238,1.9242,1.4,1.4,1.4,1.3585203999999997,1.4196706,12.2,12.8,4.2,4.4,5.0,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.3769776,1.3930511999999997,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,3.690909090909091,0.20606060606060606,0.6629370629370629,18.9,0.1,0.1,21.9,80.0,52.5092,-1.9646,2,1,0,0,1
