Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,League,Season,Time,Result,TotalGoals,GoalDiff,Over2.5,Home_xG,Away_xG,HomeForm_5,HomeGF_5,HomeGA_5,HomexG_5,HomexGA_5,HomeShots_5,HomeShotsAgainst_5,HomeSOT_5,HomeSOTAgainst_5,HomeCorners_5,HomeCornersAgainst_5,HomeFouls_5,HomeFoulsAgainst_5,HomeYellows_5,HomeReds_5,Homecum_Form,Homecum_GF,Homecum_GA,Homecum_xG,Homecum_xGA,Homecum_Shots,Homecum_ShotsAgainst,Homecum_SOT,Homecum_SOTAgainst,Homecum_Corners,Homecum_CornersAgainst,Homecum_Fouls,Homecum_FoulsAgainst,Homecum_Yellows,Homecum_Reds,Homeseason_progress,Homeform_vs_season,AwayForm_5,AwayGF_5,AwayGA_5,AwayxG_5,AwayxGA_5,AwayShots_5,AwayShotsAgainst_5,AwaySOT_5,AwaySOTAgainst_5,AwayCorners_5,AwayCornersAgainst_5,AwayFouls_5,AwayFoulsAgainst_5,AwayYellows_5,AwayReds_5,Awaycum_Form,Awaycum_GF,Awaycum_GA,Awaycum_xG,Awaycum_xGA,Awaycum_Shots,Awaycum_ShotsAgainst,Awaycum_SOT,Awaycum_SOTAgainst,Awaycum_Corners,Awaycum_CornersAgainst,Awaycum_Fouls,Awaycum_FoulsAgainst,Awaycum_Yellows,Awaycum_Reds,Awayseason_progress,Awayform_vs_season,HomexG_5_missing,HomexGA_5_missing,Homecum_xG_missing,Homecum_xGA_missing,AwayxG_5_missing,AwayxGA_5_missing,Awaycum_xG_missing,Awaycum_xGA_missing,H2H_Matches,H2H_HomeWins,H2H_AwayWins,H2H_Draws,H2H_HomeGoals,H2H_AwayGoals,Ref_AvgYellows,Ref_AvgReds,Ref_Strictness,temperature,precipitation,rain,wind_speed,humidity,stadium_lat,stadium_lon,stadium_name,Result_Num,Over1.5,Over3.5,HomeCleanSheet,AwayCleanSheet
E0,2015-08-08,Bournemouth,Aston Villa,0,1,A,0,0,D,11,7,2,3,13,13,6,3,3,4,0,0,Premier_League,1516,,A,1,-1,0,0.876106,0.782253,1.4,1.4,1.4,1.3585204,1.4196706,12.2,12.8,4.2,4.4,5,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,1.4,1.3769776,1.3930512,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3.166666667,0.2,0.579487179,21.6,0,0,9.8,60,50.7352,-1.8384,Vitality Stadium,2,0,0,0,1
E0,2015-08-08,Chelsea,Swansea City,2,2,D,2,1,H,11,18,3,10,15,16,4,8,1,3,1,0,Premier_League,1516,,D,4,0,1,0.64396,2.59203,1.4,1.4,1.4,1.3585204,1.4196706,12.2,12.8,4.2,4.4,5,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,1.4,1.3769776,1.3930512,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3.262948207,0.151394422,0.571866381,23.2,0,0,9.1,51,51.4817,-0.1909,Stamford Bridge,1,1,1,0,0
E0,2015-08-08,Everton,Watford,2,2,D,0,1,A,10,11,5,5,7,13,8,2,1,2,0,0,Premier_League,1516,,D,4,0,1,0.604226,0.557892,1.4,1.4,1.4,1.3585204,1.4196706,12.2,12.8,4.2,4.4,5,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,1.4,1.3769776,1.3930512,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3.125,0.1,0.526923077,19.9,0,0,4.5,55,53.4389,-2.9664,Goodison Park,1,1,1,0,0
E0,2015-08-08,Leicester,Sunderland,4,2,H,3,0,H,19,10,8,5,13,17,6,3,2,4,0,0,Premier_League,1516,,H,6,2,1,2.56803,1.45946,1.4,1.4,1.4,1.3585204,1.4196706,12.2,12.8,4.2,4.4,5,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,1.4,1.3769776,1.3930512,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2.813953488,0.081395349,0.470483005,22.4,0,0,12.9,52,52.6204,-1.1422,King Power Stadium,0,1,1,0,0
E0,2015-08-08,Manchester United,Tottenham,1,0,H,1,0,H,9,9,1,4,12,12,1,2,2,3,0,0,Premier_League,1516,,H,1,1,0,0.627539,0.6746,1.4,1.4,1.4,1.3585204,1.4196706,12.2,12.8,4.2,4.4,5,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,1.4,1.3769776,1.3930512,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3.096774194,0.135483871,0.538957816,20.8,0,0,16.3,53,53.4631,-2.2913,Old Trafford,0,0,0,1,0
E0,2015-08-08,Norwich City,Crystal Palace,1,3,A,0,1,A,17,11,6,7,14,20,1,4,1,0,0,0,Premier_League,1516,,A,4,-2,1,1.13076,2.10975,1.4,1.4,1.4,1.3585204,1.4196706,12.2,12.8,4.2,4.4,5,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,1.4,1.3769776,1.3930512,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3.6,0.064,0.583384615,21.3,0,0,10.2,51,52.622,1.3087,Carrow Road,2,1,1,0,0
E0,2015-08-09,Arsenal,West Ham,0,2,A,0,1,A,22,8,6,4,12,9,5,4,1,3,0,0,Premier_League,1516,,A,2,-2,0,1.33166,0.535961,1.4,1.4,1.4,1.3585204,1.4196706,12.2,12.8,4.2,4.4,5,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,1.4,1.3769776,1.3930512,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2.994117647,0.094117647,0.504072398,23.5,0,0,14.6,43,51.5549,-0.1084,Emirates Stadium,2,1,0,0,1
E0,2015-08-09,Newcastle United,Southampton,2,2,D,1,1,D,9,15,4,5,9,12,6,6,2,4,0,0,Premier_League,1516,,D,4,0,1,1.54613,1.2529,1.4,1.4,1.4,1.3585204,1.4196706,12.2,12.8,4.2,4.4,5,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,1.4,1.3769776,1.3930512,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3.702830189,0.127358491,0.628447025,19.9,0,0,19.9,57,54.9756,-1.6217,St James Park,1,1,1,0,0
E0,2015-08-09,Stoke City,Liverpool,0,1,A,0,0,D,7,8,1,3,9,16,3,5,2,4,0,0,Premier_League,1516,,A,1,-1,0,0.381274,0.329873,1.4,1.4,1.4,1.3585204,1.4196706,12.2,12.8,4.2,4.4,5,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,1.4,1.3769776,1.3930512,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3.494339623,0.124528302,0.595065312,20.8,0,0,19.4,57,52.9854,-2.1757,Bet365 Stadium,2,0,0,0,1
E0,2015-08-10,West Bromwich Albion,Manchester City,0,3,A,0,2,A,9,19,2,7,12,9,6,6,4,1,0,0,Premier_League,1516,,A,3,-3,1,0.435238,1.9242,1.4,1.4,1.4,1.3585204,1.4196706,12.2,12.8,4.2,4.4,5,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,1.4,1.3769776,1.3930512,12.4,12.6,4.4,4.2,5.2,5.2,10.6,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3.690909091,0.206060606,0.662937063,18.9,0.1,0.1,21.9,80,52.5092,-1.9646,The Hawthorns,2,1,0,0,1
E0,2015-08-14,Aston Villa,Manchester United,0,1,A,0,1,A,5,9,1,2,14,10,3,5,2,2,0,0,Premier_League,1516,,A,1,-1,0,0.219118,0.660404,3,1,0,0.782253,0.876106,7,11,3,2,3,6,13,13,4,0,3,1,0,0.782253,0.876106,7,11,3,2,3,6,13,13,4,0,0.026315789,0,3,1,0,0.627539,0.6746,9,9,1,4,1,2,12,12,2,0,3,1,0,0.627539,0.6746,9,9,1,4,1,2,12,12,2,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.690909091,0.206060606,0.662937063,15.2,1.5,1.5,11.3,97,52.5092,-1.8846,Villa Park,2,0,0,0,1
E0,2015-08-15,Southampton,Everton,0,3,A,0,2,A,17,10,4,4,11,10,9,9,4,2,0,0,Premier_League,1516,,A,3,-3,1,1.06214,1.39628,1,2,2,1.2529,1.54613,15,9,5,4,6,6,12,9,4,0,1,2,2,1.2529,1.54613,15,9,5,4,6,6,12,9,4,0,0.026315789,0,1,2,2,0.604226,0.557892,10,11,5,5,8,2,7,13,1,0,1,2,2,0.604226,0.557892,10,11,5,5,8,2,7,13,1,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.262948207,0.151394422,0.571866381,18.1,0,0,14.3,53,50.9058,-1.391,St Marys Stadium,2,1,0,0,1
E0,2015-08-15,Sunderland,Norwich City,1,3,A,0,2,A,6,19,2,6,7,7,6,6,1,2,0,0,Premier_League,1516,,A,4,-2,1,0.329128,1.71686,0,2,4,1.45946,2.56803,10,19,5,8,3,6,17,13,4,0,0,2,4,1.45946,2.56803,10,19,5,8,3,6,17,13,4,0,0.026315789,0,0,1,3,1.13076,2.10975,17,11,6,7,1,4,14,20,1,0,0,1,3,1.13076,2.10975,17,11,6,7,1,4,14,20,1,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.977941176,0.117647059,0.512443439,16.2,0,0,19.1,54,54.9144,-1.3881,Stadium of Light,2,1,1,0,0
