Date,HomeTeam,AwayTeam,League,Season
2015-11-02,Tottenham,Aston Villa,Premier_League,1516
2015-11-23,Crystal Palace,Sunderland,Premier_League,1516
2015-12-07,Everton,Crystal Palace,Premier_League,1516
2015-12-14,Leicester,Chelsea,Premier_League,1516
2015-12-21,Arsenal,Manchester City,Premier_League,1516
2016-01-13,Liverpool,Arsenal,Premier_League,1516
2016-01-13,Tottenham,Leicester,Premier_League,1516
2016-01-18,Swansea City,Watford,Premier_League,1516
2016-02-02,Crystal Palace,Bournemouth,Premier_League,1516
2016-02-02,Manchester United,Stoke City,Premier_League,1516
2016-02-02,West Bromwich Albion,Swansea City,Premier_League,1516
2016-03-02,Liverpool,Manchester City,Premier_League,1516
2016-03-02,Manchester United,Watford,Premier_League,1516
2022-05-14,Espanyol,Valencia,La_Liga,2122
2023-12-11,Granada,Athletic Club,La_Liga,2324
2024-11-29,St. Pauli,Holstein Kiel,Bundesliga,2425
2024-04-25,Udinese,Roma,Serie_A,2324
2024-05-23,Cagliari,Fiorentina,Serie_A,2324
2025-05-17,Genoa,Atalanta,Serie_A,2425
2022-02-01,Lyon,Marseille,Ligue_1,2122
2023-04-28,Strasbourg,Lyon,Ligue_1,2223
2023-08-11,Nice,Lille,Ligue_1,2324
2023-08-13,Brest,Lens,Ligue_1,2324
