Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,League,Season,Result,TotalGoals,GoalDiff,Over2.5,BTTS,Home_xG,Away_xG,HomeForm_5,HomeGF_5,HomeGA_5,HomexG_5,HomexGA_5,HomeShots_5,HomeShotsAgainst_5,HomeSOT_5,HomeSOTAgainst_5,HomeCorners_5,HomeCornersAgainst_5,HomeFouls_5,HomeFoulsAgainst_5,HomeYellows_5,HomeReds_5,Homecum_Form,Homecum_GF,Homecum_GA,Homecum_xG,Homecum_xGA,Homecum_Shots,Homecum_ShotsAgainst,Homecum_SOT,Homecum_SOTAgainst,Homecum_Corners,Homecum_CornersAgainst,Homecum_Fouls,Homecum_FoulsAgainst,Homecum_Yellows,Homecum_Reds,Homeseason_progress,Homeform_vs_season,AwayForm_5,AwayGF_5,AwayGA_5,AwayxG_5,AwayxGA_5,AwayShots_5,AwayShotsAgainst_5,AwaySOT_5,AwaySOTAgainst_5,AwayCorners_5,AwayCornersAgainst_5,AwayFouls_5,AwayFoulsAgainst_5,AwayYellows_5,AwayReds_5,Awaycum_Form,Awaycum_GF,Awaycum_GA,Awaycum_xG,Awaycum_xGA,Awaycum_Shots,Awaycum_ShotsAgainst,Awaycum_SOT,Awaycum_SOTAgainst,Awaycum_Corners,Awaycum_CornersAgainst,Awaycum_Fouls,Awaycum_FoulsAgainst,Awaycum_Yellows,Awaycum_Reds,Awayseason_progress,Awayform_vs_season,HomexG_5_missing,HomexGA_5_missing,Homecum_xG_missing,Homecum_xGA_missing,AwayxG_5_missing,AwayxGA_5_missing,Awaycum_xG_missing,Awaycum_xGA_missing,H2H_Matches,H2H_HomeWins,H2H_AwayWins,H2H_Draws,H2H_HomeGoals,H2H_AwayGoals,Ref_AvgYellows,Ref_AvgReds,Ref_Strictness,Result_Num,Over1.5,Over3.5,HomeCleanSheet,AwayCleanSheet
E0,2022-08-05,20:00,Crystal Palace,Arsenal,0,2,A,0.0,1.0,A,10.0,10.0,2.0,2.0,16.0,11.0,3.0,5.0,1.0,2.0,0.0,0.0,Premier_League,2223,A,2,-2,0,0,1.20637,1.43601,1.4,1.4,1.4,1.511454,1.5533622,12.6,13.2,4.4,4.6,5.0,5.2,11.0,10.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.556006,1.5391116000000002,13.0,13.0,4.6,4.5,5.2,5.2,11.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,3.7701149425287355,0.14942528735632185,0.6489832007073386,2,1,0,0,1
D1,2022-08-05,19:30,Ein Frankfurt,Bayern Munich,1,6,A,0.0,5.0,A,8.0,23.0,2.0,10.0,10.0,11.0,5.0,6.0,2.0,0.0,0.0,0.0,Bundesliga,2223,A,7,-5,1,1,,,1.325,1.4,1.6,1.431845,1.4877150000000006,12.6,13.0,4.6,4.8,4.6,4.9,11.2,11.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.6,1.6,1.4391645,1.41902,12.8,12.8,4.6,4.6,4.8,4.8,11.2,11.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,2,1,1,0,0
F1,2022-08-05,20:00,Lyon,Ajaccio,2,1,H,2.0,1.0,H,11.0,8.0,6.0,4.0,10.0,18.0,4.0,3.0,1.0,6.0,1.0,1.0,Ligue_1,2223,H,3,1,1,1,1.85675,1.13852,1.4,1.4,1.4,1.4679912,1.4350567500000002,12.2,12.4,4.4,4.6,4.5,4.6,12.4,12.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.476141,1.4385574,12.4,12.2,4.6,4.5,4.6,4.6,12.4,12.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,0,1,0,0,0
E0,2022-08-06,12:30,Fulham,Liverpool,2,2,D,1.0,0.0,H,9.0,11.0,3.0,4.0,7.0,9.0,4.0,4.0,2.0,0.0,0.0,0.0,Premier_League,2223,D,4,0,1,1,1.26822,2.34111,1.4,1.4,1.4,1.511454,1.5533622,12.6,13.2,4.4,4.6,5.0,5.2,11.0,10.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.556006,1.5391116000000002,13.0,13.0,4.6,4.5,5.2,5.2,11.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,3.8208955223880596,0.08955223880597014,0.6291618828932262,1,1,1,0,0
E0,2022-08-06,15:00,Bournemouth,Aston Villa,2,0,H,1.0,0.0,H,7.0,15.0,3.0,2.0,18.0,16.0,5.0,5.0,3.0,3.0,0.0,0.0,Premier_League,2223,H,2,2,0,0,0.588341,0.488895,1.4,1.4,1.4,1.511454,1.5533622,12.6,13.2,4.4,4.6,5.0,5.2,11.0,10.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.556006,1.5391116000000002,13.0,13.0,4.6,4.5,5.2,5.2,11.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,4.166666666666667,0.07407407407407407,0.6752136752136753,0,1,0,1,0
E0,2022-08-06,15:00,Leeds United,Wolverhampton Wanderers,2,1,H,1.0,1.0,D,12.0,15.0,4.0,6.0,13.0,9.0,6.0,4.0,2.0,0.0,0.0,0.0,Premier_League,2223,H,3,1,1,1,0.88917,1.10119,1.4,1.4,1.4,1.511454,1.5533622,12.6,13.2,4.4,4.6,5.0,5.2,11.0,10.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.556006,1.5391116000000002,13.0,13.0,4.6,4.5,5.2,5.2,11.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,4.171428571428572,0.12857142857142856,0.701098901098901,0,1,0,0,0
E0,2022-08-06,15:00,Newcastle United,Nottingham Forest,2,0,H,0.0,0.0,D,23.0,5.0,10.0,0.0,9.0,14.0,11.0,1.0,0.0,3.0,0.0,0.0,Premier_League,2223,H,2,2,0,0,1.8591,0.235825,1.4,1.4,1.4,1.511454,1.5533622,12.6,13.2,4.4,4.6,5.0,5.2,11.0,10.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.556006,1.5391116000000002,13.0,13.0,4.6,4.5,5.2,5.2,11.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,4.116883116883117,0.07792207792207792,0.6693306693306694,0,1,0,1,0
E0,2022-08-06,15:00,Tottenham Hotspur,Southampton,4,1,H,2.0,1.0,H,18.0,10.0,8.0,2.0,11.0,6.0,10.0,2.0,3.0,0.0,0.0,0.0,Premier_League,2223,H,5,3,1,1,1.6172,0.386546,1.4,1.4,1.4,1.511454,1.5533622,12.6,13.2,4.4,4.6,5.0,5.2,11.0,10.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.556006,1.5391116000000002,13.0,13.0,4.6,4.5,5.2,5.2,11.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,3.5384615384615383,0.15384615384615385,0.6153846153846154,0,1,1,0,0
E0,2022-08-06,17:30,Everton,Chelsea,0,1,A,0.0,1.0,A,8.0,15.0,4.0,6.0,14.0,11.0,4.0,16.0,3.0,2.0,0.0,0.0,Premier_League,2223,A,1,-1,0,0,0.541983,1.92315,1.4,1.4,1.4,1.511454,1.5533622,12.6,13.2,4.4,4.6,5.0,5.2,11.0,10.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.556006,1.5391116000000002,13.0,13.0,4.6,4.5,5.2,5.2,11.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,4.112903225806452,0.11290322580645161,0.684863523573201,2,0,0,0,1
D1,2022-08-06,14:30,Augsburg,Freiburg,0,4,A,0.0,0.0,D,10.0,19.0,2.0,7.0,13.0,13.0,5.0,8.0,0.0,0.0,0.0,0.0,Bundesliga,2223,A,4,-4,1,0,0.585905,1.54255,1.325,1.4,1.6,1.431845,1.4877150000000006,12.6,13.0,4.6,4.8,4.6,4.9,11.2,11.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.6,1.6,1.4391645,1.41902,12.8,12.8,4.6,4.6,4.8,4.8,11.2,11.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,2,1,1,0,1
